dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-10-01 19:03:17.0,2017-10-01 19:10:17.0,420,,4,1
2017-10-01 19:11:17.0,2017-10-01 19:13:17.0,120,,4,1
2017-10-12 01:52:37.0,2017-10-12 01:53:37.0,60,,4,1
2017-10-20 04:05:59.0,2017-10-20 10:26:55.0,22856,,4,1
2017-10-21 22:31:58.0,2017-10-21 22:34:58.0,180,,4,1
2017-10-21 22:35:58.0,2017-10-21 22:36:58.0,60,,4,1
2017-10-27 15:38:10.0,2017-10-27 15:48:10.0,600,,4,1
2017-10-27 15:52:10.0,2017-10-27 15:53:10.0,60,,4,1
2017-11-21 15:31:55.0,2017-11-21 15:32:55.0,60,,4,1
2017-11-24 22:59:57.0,2017-11-25 13:13:55.0,51238,,4,1
2018-02-07 12:38:58.0,2018-02-07 16:17:58.0,13140,,4,1
2018-03-13 03:04:15.0,2018-03-13 03:04:59.0,44,,4,1
2018-04-13 01:11:54.0,2018-04-13 01:12:54.0,60,,4,1
